,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate,lat,lon,incidentDate,incidentTime
247,4310,1182.96,ID,Flood,SEVERE WINTER STORMS AND FLOODING,2017-02-05T00:00:00.000Z,43.1881598,-112.3598354,2017-02-05,00:00:00.000Z
248,4313,286.3600000000001,ID,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-03-06T00:00:00.000Z,47.2162961,-116.6654616,2017-03-06,00:00:00.000Z
249,4314,112007.08,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-30T00:01:00.000Z,31.4904067,-91.3297733,2017-04-30,00:01:00.000Z
250,4315,2594238.8800000004,OK,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2017-04-28T10:53:00.000Z,35.8783136,-94.6567402,2017-04-28,10:53:00.000Z
251,4317,835516.43,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND FLOODING",2017-04-28T12:00:00.000Z,36.7033624,-93.8229669,2017-04-28,12:00:00.000Z
252,4318,16978.89,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-26T00:00:00.000Z,35.5298937,-92.0312818,2017-04-26,00:00:00.000Z
253,4319,0.0,KS,Snow,"SEVERE WINTER STORM,  SNOWSTORM,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-04-28T00:00:00.000Z,37.1718068,-94.8482069,2017-04-28,00:00:00.000Z
254,4321,30811.589999999997,NE,Severe Storms,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2017-04-29T00:00:00.000Z,41.9195837,-99.979237,2017-04-29,00:00:00.000Z
255,4323,19415.82,ND,Flood,FLOODING,2017-03-23T00:01:00.000Z,48.0191362,-99.403103,2017-03-23,00:01:00.000Z
256,4324,2059419.3599999996,OK,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2017-05-16T10:08:00.000Z,35.2496723,-99.6946079,2017-05-16,10:08:00.000Z
257,4325,147528.14,NE,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND STRAIGHT-LINE WINDS",2017-06-12T00:00:00.000Z,41.5563598,-103.7384513,2017-06-12,00:00:00.000Z
258,4326,103137.6,MI,Severe Storms,SEVERE STORMS AND FLOODING,2017-06-22T00:00:00.000Z,43.6957567,-83.9402747,2017-06-22,00:00:00.000Z
259,4328,769.53,OR,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-01-07T00:00:00.000Z,45.9280203,-123.082293,2017-01-07,00:00:00.000Z
260,4331,23220.47999999998,WV,Severe Storms,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2017-07-28T12:00:00.000Z,39.2632436,-80.7299566,2017-07-28,12:00:00.000Z
261,4332,398008810.60000014,TX,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,29.4263987,-98.5104781,2017-08-23,08:09:52.000Z
262,4337,272896819.2100003,FL,Hurricane,HURRICANE IRMA,2017-09-04T09:00:00.000Z,30.2481693,-85.6593633,2017-09-04,09:00:00.000Z
263,4338,5741496.59,GA,Hurricane,HURRICANE IRMA,2017-09-07T09:00:00.000Z,31.7771435,-82.2996274,2017-09-07,09:00:00.000Z
264,4341,24006.0,FL,Hurricane,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,2017-09-04T00:00:00.000Z,27.1189394,-81.083678,2017-09-04,00:00:00.000Z
265,4344,749221406.7100003,CA,Fire,WILDFIRES,2017-10-08T02:30:00.000Z,38.2218938,-121.9163555,2017-10-08,02:30:00.000Z
266,4346,168513.87000000002,SC,Hurricane,HURRICANE IRMA,2017-09-06T00:00:00.000Z,34.90524785,-80.8864620074782,2017-09-06,00:00:00.000Z
267,4351,4672.32,AK,Severe Storms,SEVERE STORM,2017-09-28T00:00:00.000Z,69.5335129,-153.8220681,2017-09-28,00:00:00.000Z
268,4352,87557.7,NM,Flood,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,34.8969052,-107.5817815,2017-10-04,00:00:00.000Z
269,4353,68508216.13000001,CA,Fire,"WILDFIRES,  FLOODING,  MUDFLOWS,  AND DEBRIS FLOWS",2017-12-04T18:00:00.000Z,32.9637838,-116.7706277,2017-12-04,18:00:00.000Z
270,4354,141855.86,ME,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z,43.8506432,-70.4001498,2017-10-29,00:00:00.000Z
271,4355,355701.06000000006,NH,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z,43.8778199,-71.2740836,2017-10-29,00:00:00.000Z
272,4356,10079.029999999999,VT,Severe Storms,SEVERE STORM AND FLOODING,2017-10-29T00:00:00.000Z,44.0285618,-73.1491036,2017-10-29,00:00:00.000Z
273,4358,1018002.8300000001,KY,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-02-09T12:01:01.000Z,36.7370344,-83.6491695,2018-02-09,12:01:01.000Z
274,4359,657516.96,WV,Mud/Landslide,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-02-14T00:00:00.000Z,38.8311994,-81.1234524,2018-02-14,00:00:00.000Z
275,4360,3302894.0599999996,OH,Flood,"SEVERE STORMS,  LANDSLIDES,  AND MUDSLIDES",2018-02-14T04:00:00.000Z,38.8398935,-83.5051704,2018-02-14,04:00:00.000Z
276,4362,201660.26,AL,Severe Storms,SEVERE STORMS AND TORNADOES,2018-03-19T00:00:00.000Z,33.7086407,-86.3364,2018-03-19,00:00:00.000Z
277,4363,816581.02,IN,Flood,SEVERE STORMS AND FLOODING,2018-02-14T08:00:00.000Z,40.6034281,-87.3235164,2018-02-14,08:00:00.000Z
278,4364,0.0,NC,Severe Storms,TORNADO AND SEVERE STORMS,2018-04-15T00:00:00.000Z,36.3926798,-79.744144,2018-04-15,00:00:00.000Z
279,4365,102651.43,HI,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-04-13T13:36:00.000Z,22.0557204,-159.4945109,2018-04-13,13:36:00.000Z
280,4366,5034568.74,HI,Volcano,KILAUEA VOLCANIC ERUPTION AND EARTHQUAKES,2018-05-03T00:00:00.000Z,19.58955475,-155.44869830348483,2018-05-03,00:00:00.000Z
281,4371,0.0,NH,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13T08:00:00.000Z,43.3312505,-71.0399927,2018-03-13,08:00:00.000Z
282,4372,233019.05000000002,MA,Severe Storms,SEVERE WINTER STORM AND FLOODING,2018-03-02T09:35:22.000Z,41.6718684,-70.3499234,2018-03-02,09:35:22.000Z
283,4377,273503.34,TX,Flood,SEVERE STORMS AND FLOODING,2018-06-19T00:00:00.000Z,26.1291189,-97.4134281,2018-06-19,00:00:00.000Z
284,4379,260036.52999999997,MA,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13T08:00:00.000Z,42.3544455,-70.9788771,2018-03-13,08:00:00.000Z
285,4381,256964.36,MI,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2018-06-16T00:00:00.000Z,46.403433,-89.6626791,2018-06-16,00:00:00.000Z
286,4382,210464.36,CA,Fire,WILDFIRES AND HIGH WINDS,2018-07-23T16:20:00.000Z,39.0505411,-122.7776556,2018-07-23,16:20:00.000Z
287,4383,703845.26,WI,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2018-06-15T00:00:00.000Z,46.2062319,-90.6802594,2018-06-15,00:00:00.000Z
288,4386,0.0,IA,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2018-06-06T00:01:00.000Z,41.3127814,-94.4953303,2018-06-06,00:01:00.000Z
289,4390,1470774.2799999998,MN,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2018-06-15T00:00:00.000Z,47.23099085,-95.74556703700563,2018-06-15,00:00:00.000Z
290,4393,58124621.330000006,NC,Hurricane,HURRICANE FLORENCE,2018-09-07T00:01:00.000Z,36.5029951,-81.1340843,2018-09-07,00:01:00.000Z
291,4394,5825336.3500000015,SC,Hurricane,HURRICANE FLORENCE,2018-09-08T00:01:00.000Z,33.6567769,-80.7603948,2018-09-08,00:01:00.000Z
292,4399,135162414.66000003,FL,Hurricane,HURRICANE MICHAEL,2018-10-07T08:38:00.000Z,30.6765961,-86.6037748,2018-10-07,08:38:00.000Z
293,4400,160080249.93000004,GA,Hurricane,HURRICANE MICHAEL,2018-10-09T08:38:00.000Z,31.7771435,-82.2996274,2018-10-09,08:38:00.000Z
294,4401,135168.79,VA,Hurricane,HURRICANE FLORENCE,2018-09-08T00:01:00.000Z,37.3705777,-77.0605098,2018-09-08,00:01:00.000Z
295,4402,1517195.2599999998,WI,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  FLOODING,  AND LANDSLIDES",2018-08-17T07:00:00.000Z,43.9462246,-89.7836456,2018-08-17,07:00:00.000Z
296,4407,60117820.74999993,CA,Fire,WILDFIRES,2018-11-08T00:00:00.000Z,39.6519275,-121.5858444,2018-11-08,00:00:00.000Z
297,4408,764602.1699999999,PA,Severe Storms,SEVERE STORMS AND FLOODING,2018-08-10T00:00:00.000Z,41.0389186,-76.4191791,2018-08-10,00:00:00.000Z
298,4412,106192.22,NC,Hurricane,TROPICAL STORM MICHAEL,2018-10-10T08:38:18.000Z,35.6333866,-75.6869011,2018-10-10,08:38:18.000Z
299,4413,5198923.3,AK,Earthquake,EARTHQUAKE,2018-11-30T21:30:00.000Z,60.0968272,-151.788033,2018-11-30,21:30:00.000Z
300,4414,19799.89,MN,Flood,SEVERE STORMS AND FLOODING,2018-10-09T00:00:00.000Z,47.6201005,-92.4363343,2018-10-09,00:00:00.000Z
301,4416,736916.44,TX,Flood,SEVERE STORMS AND FLOODING,2018-09-10T08:55:00.000Z,32.2810409,-99.3612437,2018-09-10,08:55:00.000Z
302,4419,18619.309999999998,AL,Tornado,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES",2019-03-03T00:01:00.000Z,32.5814796,-85.3077038,2019-03-03,00:01:00.000Z
303,4420,11450213.609999998,NE,Flood,"SEVERE WINTER STORM,  STRAIGHT-LINE WINDS,  AND FLOODING",2019-03-09T16:42:05.000Z,42.0997195,-96.54552607434803,2019-03-09,16:42:05.000Z
304,4421,4462158.12,IA,Flood,SEVERE STORMS AND FLOODING,2019-03-12T00:00:00.000Z,41.3127814,-94.4953303,2019-03-12,00:00:00.000Z
305,4424,1325961.51,OH,Flood,"SEVERE STORMS,  FLOODING,  AND LANDSLIDES",2019-02-05T09:37:41.000Z,38.8398935,-83.5051704,2019-02-05,09:37:41.000Z
306,4427,5276.32,TN,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2019-02-19T00:00:00.000Z,36.1063226,-84.1849939,2019-02-19,00:00:00.000Z
307,4428,652582.69,KY,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2019-02-06T00:00:00.000Z,37.0954558,-85.289922,2019-02-06,00:00:00.000Z
308,4429,27797.370000000003,MS,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  TORNADOES,  AND FLOODING",2019-02-22T15:16:19.000Z,34.8734817,-88.5667345,2019-02-22,15:16:19.000Z
309,4431,315991.4199999999,CA,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2019-02-13T00:00:00.000Z,38.2558181,-120.4981492,2019-02-13,00:00:00.000Z
310,4432,546178.3499999999,OR,Severe Storms,"SEVERE WINTER STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2019-02-23T00:00:00.000Z,42.4265426,-124.216879,2019-02-23,00:00:00.000Z
311,4435,903462.62,MO,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2019-03-11T00:00:00.000Z,39.9845508,-94.8090258,2019-03-11,00:00:00.000Z
312,4438,2736014.0700000003,OK,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  TORNADOES,  AND FLOODING",2019-05-07T15:40:00.000Z,35.8783136,-94.6567402,2019-05-07,15:40:00.000Z
313,4439,0.0,LA,Severe Storms,SEVERE STORMS AND TORNADOES,2019-04-24T17:40:54.000Z,32.598162,-92.6792848,2019-04-24,17:40:54.000Z
314,4440,2122776.86,SD,Flood,"SEVERE WINTER STORM,  SNOWSTORM,  AND FLOODING",2019-03-13T00:00:00.000Z,43.6963371,-98.5722461,2019-03-13,00:00:00.000Z
315,4441,1408887.66,AR,Flood,SEVERE STORMS AND FLOODING,2019-05-21T08:00:00.000Z,35.9018987,-92.7098744,2019-05-21,08:00:00.000Z
316,4442,2289982.84,MN,Flood,"SEVERE WINTER STORM,  STRAIGHT-LINE WINDS,  AND FLOODING",2019-03-12T00:00:00.000Z,47.23099085,-95.74556703700563,2019-03-12,00:00:00.000Z
317,4445,158974.41,VT,Flood,SEVERE STORMS AND FLOODING,2019-04-15T07:00:00.000Z,44.680852099999996,-71.7352329786847,2019-04-15,07:00:00.000Z
318,4447,370101.42000000004,OH,Tornado,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  TORNADOES,  FLOODING,  LANDSLIDES,  AND MUDSLIDE",2019-05-27T00:00:00.000Z,40.7787016,-80.7648602,2019-05-27,00:00:00.000Z
319,4451,1237580.9500000002,MO,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2019-04-29T00:00:00.000Z,40.1769782,-92.6161167,2019-04-29,00:00:00.000Z
320,4452,20309.26,OR,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2019-04-06T00:00:00.000Z,44.6768382,-120.0484375,2019-04-06,00:00:00.000Z
321,4454,0.0,TX,Flood,SEVERE STORMS AND FLOODING,2019-06-24T08:00:00.000Z,26.3530256,-98.216445,2019-06-24,08:00:00.000Z
322,4459,1475482.05,WI,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2019-07-18T00:00:00.000Z,45.423557,-91.8454099,2019-07-18,00:00:00.000Z
323,4461,2086361.2799999998,IL,Flood,SEVERE STORMS AND FLOODING,2019-02-24T12:00:00.000Z,39.9787786,-91.2110065,2019-02-24,12:00:00.000Z
324,4464,1045.9799999999996,SC,Hurricane,HURRICANE DORIAN,2019-08-31T08:00:00.000Z,32.9635006,-81.3400056,2019-08-31,08:00:00.000Z
325,4465,732208.1699999999,NC,Hurricane,HURRICANE DORIAN,2019-09-01T08:00:00.000Z,34.0624283,-78.24434001566806,2019-09-01,08:00:00.000Z
326,4466,8935.25,TX,Flood,TROPICAL STORM IMELDA,2019-09-17T08:00:00.000Z,29.8119769,-95.3741247,2019-09-17,08:00:00.000Z
327,4468,12045.820000000065,FL,Hurricane,HURRICANE DORIAN,2019-08-28T08:00:00.000Z,27.7041555,-80.5894422,2019-08-28,08:00:00.000Z
328,4471,18417.95,TN,Severe Storms,SEVERE STORM AND STRAIGHT-LINE WINDS,2019-10-26T12:30:43.000Z,36.0345286,-88.101285,2019-10-26,12:30:43.000Z
329,4474,102016.22,VT,Severe Storms,SEVERE STORM AND FLOODING,2019-10-31T08:00:00.000Z,44.4531756,-73.0673673,2019-10-31,08:00:00.000Z
330,4476,490433.54000000004,TN,Tornado,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-03-03T00:01:00.000Z,35.9631851,-88.4487987,2020-03-03,00:01:00.000Z
381,4536,254743.43,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-04-12T05:59:00.000Z,33.4230182,-89.9110025,2020-04-12,05:59:00.000Z
382,4541,341463.0199999999,TN,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2020-04-12T05:59:00.000Z,36.3865389,-84.1351617,2020-04-12,05:59:00.000Z
383,4543,439781.52,NC,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2020-02-06T16:18:00.000Z,35.924738,-81.1716315,2020-02-06,16:18:00.000Z
385,4557,389320.78,IA,Severe Storms,SEVERE STORMS,2020-08-10T00:00:00.000Z,41.6744179,-94.0394437,2020-08-10,00:00:00.000Z
386,4558,32596401.14999999,CA,Fire,WILDFIRES,2020-08-14T08:00:00.000Z,39.3540335,-120.8089843,2020-08-14,08:00:00.000Z
387,4559,139178049.85999998,LA,Hurricane,HURRICANE LAURA,2020-08-22T08:00:00.000Z,30.2116442,-90.9186104,2020-08-22,08:00:00.000Z
388,4562,44601060.91,OR,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,2020-09-07T00:00:00.000Z,44.494937,-123.4065679,2020-09-07,00:00:00.000Z
389,4563,1263684.4900000002,AL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z,31.7340713,-86.6754793,2020-09-14,09:25:00.000Z
390,4564,1285678.67,FL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z,30.3853734,-85.2223516,2020-09-14,09:25:00.000Z
391,4568,353671.73,NC,Hurricane,HURRICANE ISAIAS,2020-07-31T21:46:00.000Z,35.469331,-76.8927522,2020-07-31,21:46:00.000Z
392,4569,14182387.620000001,CA,Fire,WILDFIRES,2020-09-04T10:00:00.000Z,36.6713502,-119.8155355,2020-09-04,10:00:00.000Z
393,4570,5913297.440000001,LA,Hurricane,HURRICANE DELTA,2020-10-06T08:00:00.000Z,32.3231432,-93.0761115,2020-10-06,08:00:00.000Z
394,4572,2920414.65,TX,Hurricane,HURRICANE LAURA,2020-08-23T00:00:00.000Z,30.7485258,-94.000884,2020-08-23,00:00:00.000Z
395,4573,347882.99,AL,Hurricane,HURRICANE ZETA,2020-10-28T08:00:00.000Z,31.7340713,-86.6754793,2020-10-28,08:00:00.000Z
396,4576,34770.48999999999,MS,Hurricane,HURRICANE ZETA,2020-10-28T08:00:00.000Z,31.153317,-88.9830577,2020-10-28,08:00:00.000Z
397,4577,550251.3099999999,LA,Hurricane,HURRICANE ZETA,2020-10-26T08:00:00.000Z,30.2740735,-92.3957036,2020-10-26,08:00:00.000Z
398,4580,104560.99,CT,Hurricane,TROPICAL STORM ISAIAS,2020-08-04T21:46:00.000Z,41.486675649999995,-71.95006183718445,2020-08-04,21:46:00.000Z
399,4586,9732335.33,TX,Severe Ice Storm,SEVERE WINTER STORMS,2021-02-11T11:25:28.000Z,32.2690953,-102.6042447,2021-02-11,11:25:28.000Z
400,4588,364942.0,NC,Severe Storms,TROPICAL STORM ETA,2020-11-12T09:44:00.000Z,36.5029951,-81.1340843,2020-11-12,09:44:00.000Z
401,4589,78140.23,ID,Severe Storms,STRAIGHT-LINE WINDS,2021-01-13T00:00:00.000Z,48.2663565,-116.5952716,2021-01-13,00:00:00.000Z
402,4593,2500.0,WA,Severe Storms,"SEVERE WINTER STORM,  STRAIGHT-LINE WINDS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2020-12-29T00:00:00.000Z,47.9998383,-123.7373472,2020-12-29,00:00:00.000Z
403,4601,10000.0,TN,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2021-03-25T00:01:00.000Z,36.3865389,-84.1351617,2021-03-25,00:01:00.000Z
404,4606,10000.0,LA,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2021-05-17T08:00:00.000Z,30.2116442,-90.9186104,2021-05-17,08:00:00.000Z
405,4607,161200.0,MI,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES",2021-06-25T00:00:00.000Z,42.2682408,-83.2844172,2021-06-25,00:00:00.000Z
